,X,Y,Class,Method
0,0.2004580125384338,0.7524939014059376,15,t-SNE
1,0.710978403242932,0.5094809563042404,15,UMAP
2,0.4791403615634834,0.7512965609068489,15,PCA
3,0.44107101305831536,0.1919060749043791,19,t-SNE
4,0.4613898460184457,0.2510642190866022,19,UMAP
5,0.42306136137107575,0.4579473526857704,19,PCA
6,0.20150394100782415,0.06469300119797827,5,t-SNE
7,0.017818368906289517,0.4742463381636537,5,UMAP
8,0.605931170229404,0.5047413810677843,5,PCA
9,0.2799478105418125,0.25160803095252016,11,t-SNE
10,0.5057297175269814,0.3715368196351539,11,UMAP
11,0.4983928392095943,0.35810904769780005,11,PCA
12,0.4869903675706498,0.9620324098854949,14,t-SNE
13,0.7985834120807933,0.5588670368406522,14,UMAP
14,0.25021510643647216,0.800077579706851,14,PCA
15,0.10120143039094853,0.5460469364029464,15,t-SNE
16,0.6463356516066867,0.39412160227439424,15,UMAP
17,0.6509365994818898,0.3678931003711331,15,PCA
18,0.2777533994960838,0.3394782009934673,21,t-SNE
19,0.5241499737180437,0.30585079509597773,21,UMAP
20,0.6366132917885157,0.38602340746094327,21,PCA
21,0.17920145114404168,0.5177906445571079,8,t-SNE
22,0.605187704431501,0.3774885673283121,8,UMAP
23,0.54867152039648,0.4385725198210908,8,PCA
24,0.49719979519348306,0.6852660666279835,1,t-SNE
25,0.7642064174988411,0.2557822959939993,1,UMAP
26,0.6871300976176157,0.3128797040599327,1,PCA
27,0.5767556351161901,0.29291219298995286,11,t-SNE
28,0.46111058212732614,0.4483759691721265,11,UMAP
29,0.26111012238401266,0.4117581346341762,11,PCA
30,0.38661423546998924,0.9333707795255166,12,t-SNE
31,0.8361467575824705,0.5242563367839302,12,UMAP
32,0.5557229592049245,0.8893739611847715,12,PCA
33,0.30079725247330935,0.3464208899524257,16,t-SNE
34,0.5218216663805922,0.32256337724116585,16,UMAP
35,0.5380147519959909,0.3907907182250653,16,PCA
36,0.05936330881466606,0.5434007013383171,7,t-SNE
37,0.6680688564282303,0.3538033902099914,7,UMAP
38,0.8070792003523286,0.3462175150736472,7,PCA
39,0.08227888344884593,0.42763802613961616,8,t-SNE
40,0.5688360590590913,0.41965669527697147,8,UMAP
41,0.554900242275622,0.4157743287098395,8,PCA
42,0.2736468468989005,0.6869124996064213,11,t-SNE
43,0.7486874955802415,0.21637930960186427,11,UMAP
44,0.8690514972146548,0.21100897593625578,11,PCA
45,0.7230688732537747,0.5978670851344239,1,t-SNE
46,0.9975372961389459,0.12830380491050433,1,UMAP
47,0.35357259119597884,0.5806494210105608,1,PCA
48,0.6258942628988131,0.32309138745076516,24,t-SNE
49,0.48755513299392705,0.4956542629888633,24,UMAP
50,0.2045640783422043,0.4507831919180303,24,PCA
51,0.5444446803673956,0.23993012293146332,16,t-SNE
52,0.4235800149196419,0.41802047728401487,16,UMAP
53,0.29526515905778544,0.3764018956771935,16,PCA
54,0.20235006381576154,0.2563076217807145,20,t-SNE
55,0.5140969978697143,0.3041387484652438,20,UMAP
56,0.5238731542795978,0.41761156114679077,20,PCA
57,0.9093227420028938,0.5013984925190079,3,t-SNE
58,0.7744706933218943,0.032017391984279664,3,UMAP
59,0.5548033717287805,0.24518372341784894,3,PCA
60,0.393650194020851,0.9210242189526461,17,t-SNE
61,0.8315526506727537,0.5158144299952027,17,UMAP
62,0.4724433377325654,0.9335772586574476,17,PCA
63,0.20304762373197574,0.06662277328223559,5,t-SNE
64,0.0122516323411066,0.4789550132079201,5,UMAP
65,0.6193179051230051,0.4890790155112807,5,PCA
66,0.2992536840283052,0.47266610234992656,5,t-SNE
67,0.5758374185029661,0.34548289966934953,5,UMAP
68,0.5643958849645363,0.5313715195591835,5,PCA
69,0.16982793263033985,0.005827512118472433,13,t-SNE
70,0.014316223404159834,0.40164655971594676,13,UMAP
71,0.33825660970436255,0.654678972636684,13,PCA
72,0.34452593969800227,0.7220085590225456,7,t-SNE
73,0.7560533755890055,0.2326660656960932,7,UMAP
74,0.8412226557385818,0.5337056949408147,7,PCA
75,0.3661361264863546,0.6624370555373135,10,t-SNE
76,0.7248891470102898,0.21952045901567246,10,UMAP
77,0.9109980330931542,0.4544625496657678,10,PCA
78,0.47365759656690815,0.9537550021965433,14,t-SNE
79,0.8027759572979395,0.5542795021911956,14,UMAP
80,0.30307345363051374,0.8370783818891241,14,PCA
81,0.9120591790451172,0.6279727272522816,0,t-SNE
82,0.8459926480052407,0.09820721356381723,0,UMAP
83,0.5132199503861256,0.084886267704322,0,PCA
84,0.6398779964963841,0.8206461773397684,7,t-SNE
85,0.7457340829997723,0.9984695333800484,7,UMAP
86,0.3851113194503614,0.7322298245029137,7,PCA
87,0.17223549714194708,0.575135194247905,19,t-SNE
88,0.6343974823952555,0.3338607506504979,19,UMAP
89,0.6698264618044262,0.49978112805379726,19,PCA
90,0.3148686953165708,0.45537884657481664,5,t-SNE
91,0.5614067952659203,0.3428191984112523,5,UMAP
92,0.4069713588557289,0.6000305354044964,5,PCA
93,0.29390780836045216,0.5149489930338462,11,t-SNE
94,0.7038977882018392,0.27153389020394547,11,UMAP
95,0.5805015155114109,0.4863696235145372,11,PCA
96,0.4181144353785019,0.6636166293329254,12,t-SNE
97,0.7184516507885538,0.21813359279689837,12,UMAP
98,0.7865930710198925,0.43876371235652917,12,PCA
99,0.9912930260418864,0.5826049927131733,0,t-SNE
100,0.8625209923865789,0.04279722873816316,0,UMAP
101,0.1772832638898068,0.13691575332977346,0,PCA
102,0.41222267536443735,0.27205548858472134,23,t-SNE
103,0.4667613889465467,0.34420226144580857,23,UMAP
104,0.38715723576470157,0.3066622942602637,23,PCA
105,0.06340965915695729,0.4890739864039211,21,t-SNE
106,0.6444504065101664,0.36617662730515727,21,UMAP
107,0.6560442208877354,0.6158059046002868,21,PCA
108,0.559994323983303,0.956385719019367,15,t-SNE
109,0.7096821258721253,0.5457848013293608,15,UMAP
110,0.2514441613484617,0.753056223033264,15,PCA
111,0.8827889524245396,0.5202965495245571,3,t-SNE
112,0.7781753717087508,0.043032458130434825,3,UMAP
113,0.5227179844688686,0.15197822699694613,3,PCA
114,0.9017373035981429,0.5144211886153267,3,t-SNE
115,0.7723321441636826,0.040110646348578805,3,UMAP
116,0.6378944795717497,0.17395013658958092,3,PCA
117,0.2452177262316858,0.05082362880965341,5,t-SNE
118,0.006648530631577776,0.4814257640770114,5,UMAP
119,0.3809522561295995,0.46015486000010813,5,PCA
120,0.5632006311683027,0.5735450242669318,10,t-SNE
121,0.6897672756991412,0.13839281365457654,10,UMAP
122,0.5024839071394459,0.39072729148386937,10,PCA
123,0.17408009971724142,0.5905795838412371,19,t-SNE
124,0.6583243695413827,0.3208625802008306,19,UMAP
125,0.7107191012314164,0.44525931321410184,19,PCA
126,0.38212722473501753,0.8188810335598846,14,t-SNE
127,0.7678314195233422,0.3187029004199316,14,UMAP
128,0.47440438058489,0.7386879775432538,14,PCA
129,0.3911419295814636,0.5943554550743151,2,t-SNE
130,0.6563967064905464,0.22415633491139253,2,UMAP
131,0.6609225287640725,0.5833242354966339,2,PCA
132,0.48100702281930585,0.813128095214534,17,t-SNE
133,0.8112337642253449,0.38573189622939064,17,UMAP
134,0.48850595516997875,0.699115154969621,17,PCA
135,0.2869691327908609,0.8308688191292691,14,t-SNE
136,0.7710264064750705,0.47634950230062284,14,UMAP
137,0.6852428997371138,0.9678719901631396,14,PCA
138,0.6135507893329284,0.48980456433098385,9,t-SNE
139,0.6579624735852613,0.10792288999274308,9,UMAP
140,0.3630003381356184,0.390874550224004,9,PCA
141,0.24752666783901836,0.7861494819006323,15,t-SNE
142,0.7337915716300775,0.46999316380085254,15,UMAP
143,0.7178979279079853,0.7552246878196243,15,PCA
144,0.5633445543266382,0.638656399513012,5,t-SNE
145,0.7446118196044934,0.17019930356743512,5,UMAP
146,0.5793898560501284,0.2699714372590726,5,PCA
147,0.4623296732160351,0.43117826561532446,13,t-SNE
148,0.571962509577925,0.19922131419086142,13,UMAP
149,0.41973162916879314,0.6234333415662212,13,PCA
150,0.6604704817647735,0.3044119973251649,20,t-SNE
151,0.4762799516834702,0.5017477149489858,20,UMAP
152,0.06928817872200549,0.4381972934289615,20,PCA
153,0.2623259088609171,0.4802083145914954,15,t-SNE
154,0.5836954419712865,0.36211866402241005,15,UMAP
155,0.4517851948252304,0.4661014227632294,15,PCA
156,0.2503978057123758,0.31693381282451494,23,t-SNE
157,0.5313109411048276,0.2865192652141014,23,UMAP
158,0.6209741951445306,0.3413957458823007,23,PCA
159,0.5744055301599355,0.5423460184652084,21,t-SNE
160,0.6590619208185126,0.13355706981847065,21,UMAP
161,0.4101437751193776,0.45656817354869533,21,PCA
162,0.5030954221282005,0.16950837910090155,19,t-SNE
163,0.44425478589993667,0.2386578861274021,19,UMAP
164,0.31617770029640524,0.5326349520157481,19,PCA
165,0.6884288523397764,0.5972910734874961,25,t-SNE
166,0.9978080757494233,0.13385842564809458,25,UMAP
167,0.3734621953688024,0.509652235040378,25,PCA
168,0.7821063722189769,0.5536621645023592,1,t-SNE
169,0.9703749337432863,0.08984245428533394,1,UMAP
170,0.2093988104536213,0.32663390914907686,1,PCA
171,0.20004292781895916,0.7440394208322275,15,t-SNE
172,0.7128306355206286,0.5024991066271305,15,UMAP
173,0.5357777214669095,0.6992848987890302,15,PCA
174,0.5787385040320198,0.3386172571844961,8,t-SNE
175,0.4932718550861689,0.47351347599076243,8,UMAP
176,0.1727082575009985,0.49869910039134363,8,PCA
177,0.24045491420218734,0.8196308944954471,15,t-SNE
178,0.7318761969905938,0.470796311429717,15,UMAP
179,0.722769300719136,0.8405988709694163,15,PCA
180,0.976414246733342,0.5845445199240731,0,t-SNE
181,0.8675916261612393,0.04913567758169873,0,UMAP
182,0.21324987323038552,0.10264530892107349,0,PCA
183,0.3752763898321363,0.2698656360155152,6,t-SNE
184,0.4816730295092661,0.33364032919265707,6,UMAP
185,0.42733366135405126,0.33042423384951136,6,PCA
186,0.7852465574892451,0.5697614876221405,1,t-SNE
187,0.9670659263370749,0.09206359221737798,1,UMAP
188,0.3077278276209934,0.10819384777494545,1,PCA
189,0.45021474865992844,0.8176126421943244,17,t-SNE
190,0.8217320061582357,0.3781202056823072,17,UMAP
191,0.5585795217518943,0.9020958689081212,17,PCA
192,0.51172607475767,0.8623601296635315,22,t-SNE
193,0.8207850086872135,0.4638122679845432,22,UMAP
194,0.4532360992177541,0.8958239001571703,22,PCA
195,0.17829201768840075,0.3310872739921764,5,t-SNE
196,0.5874865979405904,0.2859071059882216,5,UMAP
197,0.6899456368135307,0.3483928644955704,5,PCA
198,0.22669805899610707,0.23155981195189496,20,t-SNE
199,0.48509818188901577,0.31435732663558535,20,UMAP
200,0.41588783871388024,0.4539116869262075,20,PCA
201,0.8888443301795184,0.5309087907841135,3,t-SNE
202,0.7738483609901108,0.050747966527173505,3,UMAP
203,0.5987331496334751,0.1750389177078271,3,PCA
204,0.36805326775051145,0.607257917302015,2,t-SNE
205,0.6600716467839733,0.23644643733763995,2,UMAP
206,0.7626738923307528,0.6667458532214716,2,PCA
207,0.360738522362395,0.3688254452685855,23,t-SNE
208,0.5072993094457744,0.24692783022784134,23,UMAP
209,0.5196577465814407,0.36974545849203405,23,PCA
210,0.19007817470785793,0.4274753282445495,16,t-SNE
211,0.5565543799484911,0.38089141351149064,16,UMAP
212,0.4973020558623531,0.4440763666894369,16,PCA
213,0.14078391015428282,0.023087133053555198,13,t-SNE
214,0.01190199720518137,0.399431903519752,13,UMAP
215,0.5244320434468571,0.7513264125561232,13,PCA
216,0.24363249160951073,0.6308083485891893,6,t-SNE
217,0.7036886644795892,0.260076296641631,6,UMAP
218,0.7014806344380446,0.29472447234994603,6,PCA
219,0.40087847294900586,0.41399970312928713,23,t-SNE
220,0.5495549587833646,0.22027726982326037,23,UMAP
221,0.5083933639691263,0.43277924456928796,23,PCA
